ID|Filename|Format|Source Path
128|DJI_0215.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Holly & Houston/Holly & Houston Using/DJI_0215.MOV
129|DJI_0216.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Holly & Houston/Holly & Houston Using/DJI_0216.MOV
130|DJI_0217.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Holly & Houston/Holly & Houston Using/DJI_0217.MOV
131|CDA_2001.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/CDA_2001.MOV
132|CDA_2002.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/CDA_2002.MOV
133|DJI_0166.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0166.MOV
134|DJI_0167.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0167.MOV
135|DJI_0172.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0172.MOV
136|DJI_0176.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0176.MOV
137|DJI_0177.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0177.MOV
138|DJI_0201.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0201.MOV
139|DJI_0212.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0212.MOV
140|DJI_0249.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0249.MOV
141|DJI_0250.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/DJI_0250.MOV
142|CDA_1999.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/CDA_1999.MOV
143|CDA_2000.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/CDA_2000.MOV
144|DJI_0168.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0168.MOV
145|DJI_0169.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0169.MOV
146|DJI_0170.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0170.MOV
147|DJI_0171.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0171.MOV
148|DJI_0173.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0173.MOV
149|DJI_0174.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0174.MOV
150|DJI_0175.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0175.MOV
151|DJI_0178.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Indoor Footage/Indoor Footage Using/DJI_0178.MOV
